ID_Pesanan,Tanggal_Pemesanan,ID_Produk,Nama_Produk,Kategori,Bahan_Material,Warna_Finishing,Merek_Siri,Berat_Gram,Dimensi_Cm,Stok,Harga_Rupiah,Quantity
ORD-50352,2022-04-23,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Coklat Gelap,Atmobrass Jaya,118.5,4.0,194,19000,10
ORD-50353,2022-04-24,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Emas Matte,Maison Le Forge,58.2,6.8,37,28000,1
ORD-50355,2022-04-26,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Hitam Matte,Atmobrass Jaya,418.4,13.4,57,34000,10
ORD-50356,2022-04-28,HW-003,Engsel Jahit,Engsel,Besi,Hitam Matte,Atmobrass Jaya,134.5,9.0,104,32000,9
ORD-50356,2022-04-28,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,136.3,9.5,100,48000,6
ORD-50359,2022-05-02,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,226.3,12.9,53,57000,1
ORD-50360,2022-05-03,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,110.3,4.5,98,48000,4
ORD-50362,2022-05-04,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Perak Berkilat (Chrome),Atmobrass Jaya,122.1,8.8,11,47000,6
ORD-50363,2022-05-05,HW-003,Engsel Jahit,Engsel,Besi,Emas Matte,Atmobrass Jaya,103.6,8.2,66,32000,8
ORD-50363,2022-05-05,HW-003,Engsel Jahit,Engsel,Besi,Hitam Matte,Atmobrass Jaya,99.5,10.2,74,32000,2
ORD-50364,2022-05-05,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Berkilat (Chrome),Atmobrass Jaya,75.2,7.1,61,19000,10
ORD-50365,2022-05-06,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,89.4,7.0,92,210000,3
ORD-50366,2022-05-06,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Perak Berkilat (Chrome),Atmobrass Jaya,82.2,7.6,185,47000,7
ORD-50367,2022-05-08,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,243.6,14.7,90,36000,3
ORD-50367,2022-05-08,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,117.9,8.1,139,210000,7
ORD-50368,2022-05-11,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Berkilat,Atmobrass Jaya,307.2,10.4,93,34000,2
ORD-50368,2022-05-11,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,143.4,8.2,177,25000,10
ORD-50371,2022-05-16,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,131.6,6.6,101,28000,9
ORD-50373,2022-05-22,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,447.7,11.8,148,97000,7
ORD-50373,2022-05-22,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Emas Berkilat,Atmobrass Jaya,114.9,12.6,116,47000,7
ORD-50373,2022-05-22,HW-003,Engsel Jahit,Engsel,Besi,Perak Berkilat (Chrome),Atmobrass Jaya,256.3,12.5,24,32000,1
ORD-50374,2022-05-22,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,134.8,14.6,178,57000,10
ORD-50374,2022-05-22,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,254.2,9.5,160,36000,6
ORD-50375,2022-05-25,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,142.0,4.7,76,48000,1
ORD-50375,2022-05-25,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Perak Berkilat (Chrome),Atmobrass Jaya,319.0,10.2,164,34000,9
ORD-50376,2022-05-26,HW-003,Engsel Jahit,Engsel,Besi,Coklat Gelap,Heritage Series,133.8,9.9,193,32000,10
ORD-50376,2022-05-26,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,138.3,8.5,91,48000,3
ORD-50376,2022-05-26,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,100.0,12.3,181,57000,4
ORD-50377,2022-06-01,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,221.4,12.9,61,90000,9
ORD-50377,2022-06-01,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,118.9,9.3,140,25000,2
ORD-50380,2022-06-06,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,146.3,9.7,93,48000,8
ORD-50380,2022-06-06,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Emas Berkilat,Atmobrass Jaya,163.2,10.4,35,47000,3
ORD-50381,2022-06-07,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Saten,Atmobrass Jaya,118.3,9.8,86,19000,9
ORD-50383,2022-06-13,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Coklat Gelap,Atmobrass Jaya,101.4,13.4,185,47000,5
ORD-50384,2022-06-13,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Berkilat,Maison Le Forge,204.8,9.7,112,34000,1
ORD-50385,2022-06-14,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,94.8,5.7,133,25000,5
ORD-50386,2022-06-16,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Coklat Gelap,Atmobrass Jaya,265.9,8.2,34,47000,6
ORD-50388,2022-06-19,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,275.0,13.9,27,57000,4
ORD-50388,2022-06-19,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Emas Matte,Atmobrass Jaya,329.5,12.4,16,97000,8
ORD-50389,2022-06-20,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,122.1,4.6,64,25000,7
ORD-50389,2022-06-20,HW-003,Engsel Jahit,Engsel,Besi,Coklat Gelap,Atmobrass Jaya,130.7,14.3,19,32000,9
ORD-50390,2022-06-20,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,104.3,9.4,104,25000,7
ORD-50391,2022-06-21,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,147.4,9.0,167,28000,3
ORD-50391,2022-06-21,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,68.1,6.4,23,25000,8
ORD-50391,2022-06-21,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Perak Berkilat (Chrome),Atmobrass Jaya,205.7,11.7,113,47000,3
ORD-50392,2022-06-21,HW-003,Engsel Jahit,Engsel,Besi,Emas Matte,Maison Le Forge,81.8,7.5,166,32000,4
ORD-50397,2022-06-27,HW-003,Engsel Jahit,Engsel,Besi,Hitam Matte,Atmobrass Jaya,254.6,12.6,154,32000,6
ORD-50397,2022-06-27,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Perak Saten,Modern Hardware,101.0,8.4,40,48000,8
ORD-50398,2022-06-29,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,140.1,7.5,69,90000,9
ORD-50398,2022-06-29,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,129.4,7.3,139,48000,3
ORD-50399,2022-06-29,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,272.1,10.4,37,36000,8
ORD-50400,2022-06-30,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,35.8,7.8,89,28000,5
ORD-50400,2022-06-30,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Perak Berkilat (Chrome),Modern Hardware,32.3,7.5,190,28000,10
ORD-50402,2022-07-03,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,96.6,14.8,60,57000,6
ORD-50402,2022-07-03,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,212.6,13.7,59,210000,10
ORD-50403,2022-07-07,HW-003,Engsel Jahit,Engsel,Besi,Hitam Matte,Atmobrass Jaya,284.3,8.3,161,32000,3
ORD-50404,2022-07-12,HW-003,Engsel Jahit,Engsel,Besi,Hitam Matte,Atmobrass Jaya,145.1,11.2,199,32000,1
ORD-50405,2022-07-12,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,265.0,13.7,52,90000,1
ORD-50406,2022-07-16,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,124.7,6.5,181,48000,1
ORD-50407,2022-07-16,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Matte,Atmobrass Jaya,483.2,12.3,76,34000,3
ORD-50408,2022-07-17,HW-003,Engsel Jahit,Engsel,Besi,Perak Saten,Atmobrass Jaya,157.4,9.7,118,32000,6
ORD-50411,2022-07-18,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Emas Matte,Atmobrass Jaya,127.6,6.8,26,48000,10
ORD-50411,2022-07-18,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,258.7,14.2,61,210000,8
ORD-50411,2022-07-18,HW-003,Engsel Jahit,Engsel,Besi,Perak Berkilat (Chrome),Atmobrass Jaya,262.1,9.2,52,32000,2
ORD-50412,2022-07-21,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Emas Berkilat,Atmobrass Jaya,154.1,7.7,141,47000,4
ORD-50412,2022-07-21,HW-003,Engsel Jahit,Engsel,Besi,Hitam Matte,Atmobrass Jaya,136.9,9.8,191,32000,2
ORD-50415,2022-07-26,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Coklat Gelap,Modern Hardware,237.9,8.7,49,34000,8
ORD-50415,2022-07-26,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,207.9,11.5,155,57000,6
ORD-50416,2022-07-27,HW-003,Engsel Jahit,Engsel,Besi,Emas Berkilat,Modern Hardware,265.7,7.7,104,32000,3
ORD-50417,2022-07-27,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,98.2,6.3,153,48000,5
ORD-50418,2022-07-30,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,406.7,12.0,81,97000,2
ORD-50418,2022-07-30,HW-003,Engsel Jahit,Engsel,Besi,Emas Matte,Atmobrass Jaya,272.0,12.7,64,32000,8
ORD-50419,2022-08-03,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,57.2,8.2,101,48000,2
ORD-50419,2022-08-03,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,27.2,5.4,105,25000,3
ORD-50420,2022-08-03,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Perak Berkilat (Chrome),Heritage Series,239.2,9.0,65,34000,8
ORD-50420,2022-08-03,HW-003,Engsel Jahit,Engsel,Besi,Hitam Matte,Atmobrass Jaya,80.2,7.3,163,32000,1
ORD-50421,2022-08-04,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,117.5,6.6,163,48000,6
ORD-50423,2022-08-06,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,303.8,11.0,83,97000,3
ORD-50424,2022-08-08,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,443.8,11.9,159,97000,10
ORD-50425,2022-08-09,HW-003,Engsel Jahit,Engsel,Besi,Perak Saten,Modern Hardware,200.1,10.8,43,32000,9
ORD-50426,2022-08-09,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,108.2,7.1,138,90000,2
ORD-50426,2022-08-09,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Emas Berkilat,Heritage Series,211.4,14.9,110,47000,8
ORD-50428,2022-08-13,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Matte,Atmobrass Jaya,443.9,13.6,121,34000,7
ORD-50429,2022-08-14,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Berkilat (Chrome),Atmobrass Jaya,127.1,9.1,41,19000,6
ORD-50429,2022-08-14,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,138.3,11.0,83,210000,8
ORD-50429,2022-08-14,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Coklat Gelap,Atmobrass Jaya,147.6,9.0,39,19000,3
ORD-50432,2022-08-21,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Berkilat,Atmobrass Jaya,456.7,9.0,168,34000,1
ORD-50433,2022-08-25,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Hitam Matte,Atmobrass Jaya,290.6,11.6,91,47000,2
ORD-50433,2022-08-25,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Maison Le Forge,126.3,12.1,115,57000,7
ORD-50434,2022-08-31,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Emas Matte,Atmobrass Jaya,286.5,9.5,26,47000,3
ORD-50434,2022-08-31,HW-003,Engsel Jahit,Engsel,Besi,Coklat Gelap,Atmobrass Jaya,136.7,7.7,175,32000,8
ORD-50434,2022-08-31,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Emas Berkilat,Atmobrass Jaya,248.4,7.2,192,47000,5
ORD-50435,2022-08-31,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,99.7,11.3,83,36000,7
ORD-50436,2022-09-01,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Coklat Gelap,Atmobrass Jaya,58.3,8.8,17,19000,3
ORD-50438,2022-09-05,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Hitam Matte,Atmobrass Jaya,415.5,8.4,144,34000,8
ORD-50440,2022-09-09,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Maison Le Forge,102.5,11.2,48,36000,4
ORD-50441,2022-09-13,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,128.1,14.1,45,90000,5
ORD-50441,2022-09-13,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,271.5,9.2,80,210000,1
ORD-50442,2022-09-13,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,209.8,8.1,140,57000,1
ORD-50443,2022-09-14,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,148.3,5.5,161,28000,4
ORD-50445,2022-09-19,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,109.3,5.0,130,48000,5
ORD-50445,2022-09-19,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Berkilat,Atmobrass Jaya,308.1,11.8,149,34000,10
ORD-50445,2022-09-19,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,52.7,5.3,179,28000,10
ORD-50449,2022-10-01,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,263.0,14.0,186,57000,8
ORD-50449,2022-10-01,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Hitam Matte,Maison Le Forge,70.0,8.5,158,25000,4
ORD-50450,2022-10-01,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,135.3,9.9,147,25000,5
ORD-50453,2022-10-03,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Hitam Matte,Modern Hardware,218.4,13.4,86,34000,10
ORD-50455,2022-10-05,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Emas Matte,Atmobrass Jaya,283.1,11.7,27,97000,8
ORD-50458,2022-10-09,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Maison Le Forge,149.0,11.7,26,90000,8
ORD-50459,2022-10-11,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Modern Hardware,118.6,11.0,35,210000,9
ORD-50459,2022-10-11,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Emas Matte,Modern Hardware,144.1,9.2,81,25000,2
ORD-50460,2022-10-12,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,281.1,11.4,69,57000,8
ORD-50460,2022-10-12,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,92.6,4.6,139,25000,1
ORD-50461,2022-10-12,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Saten,Atmobrass Jaya,74.6,4.6,58,19000,4
ORD-50461,2022-10-12,HW-003,Engsel Jahit,Engsel,Besi,Emas Berkilat,Heritage Series,280.3,10.1,196,32000,8
ORD-50461,2022-10-12,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,47.9,6.2,129,25000,5
ORD-50462,2022-10-12,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,249.8,7.4,60,57000,5
ORD-50463,2022-10-13,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Heritage Series,104.0,8.8,114,210000,10
ORD-50463,2022-10-13,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Emas Berkilat,Atmobrass Jaya,25.0,5.2,146,19000,1
ORD-50464,2022-10-17,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,192.3,9.5,143,210000,9
ORD-50466,2022-10-18,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Berkilat,Atmobrass Jaya,497.7,13.4,71,34000,8
ORD-50467,2022-10-19,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,159.0,12.0,124,36000,7
ORD-50468,2022-10-19,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,227.6,11.5,76,57000,1
ORD-50471,2022-10-23,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Saten,Heritage Series,134.3,7.3,138,19000,4
ORD-50472,2022-10-24,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,137.2,10.1,13,36000,9
ORD-50472,2022-10-24,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,77.8,6.4,80,48000,6
ORD-50472,2022-10-24,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,35.7,9.8,21,48000,7
ORD-50473,2022-10-24,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,158.5,10.4,86,210000,6
ORD-50474,2022-10-25,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Perak Berkilat (Chrome),Modern Hardware,478.3,9.9,198,34000,3
ORD-50477,2022-10-27,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Emas Matte,Atmobrass Jaya,149.6,7.8,180,25000,9
ORD-50477,2022-10-27,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,210.8,8.0,98,36000,5
ORD-50478,2022-10-31,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,211.4,10.3,20,57000,9
ORD-50478,2022-10-31,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Saten,Atmobrass Jaya,119.7,8.3,57,210000,9
ORD-50478,2022-10-31,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Perak Saten,Atmobrass Jaya,264.1,7.7,12,47000,4
ORD-50481,2022-11-04,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Emas Matte,Atmobrass Jaya,122.5,8.5,122,25000,3
ORD-50481,2022-11-04,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,60.7,8.7,60,25000,10
ORD-50481,2022-11-04,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,60.7,7.5,135,28000,4
ORD-50482,2022-11-04,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,229.4,8.4,146,210000,7
ORD-50483,2022-11-06,HW-003,Engsel Jahit,Engsel,Besi,Hitam Matte,Atmobrass Jaya,171.7,14.3,36,32000,2
ORD-50484,2022-11-07,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Perak Berkilat (Chrome),Atmobrass Jaya,196.5,13.5,199,47000,8
ORD-50484,2022-11-07,HW-011,Kotak Kuningan,Aksesori & Plat,Kuningan (Brass),Emas Matte,Atmobrass Jaya,112.3,5.8,150,48000,6
ORD-50485,2022-11-08,HW-003,Engsel Jahit,Engsel,Besi,Hitam Matte,Atmobrass Jaya,165.8,10.4,116,32000,7
ORD-50486,2022-11-12,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,292.1,14.3,80,90000,6
ORD-50487,2022-11-15,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Maison Le Forge,149.8,9.3,123,210000,5
ORD-50489,2022-11-18,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Emas Berkilat,Modern Hardware,232.7,14.1,17,47000,1
ORD-50490,2022-11-19,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Hitam Matte,Maison Le Forge,205.5,9.5,21,97000,2
ORD-50491,2022-11-20,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,102.9,10.7,172,210000,1
ORD-50493,2022-11-22,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,283.2,10.7,82,36000,1
ORD-50493,2022-11-22,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,117.7,12.5,101,210000,4
ORD-50494,2022-11-22,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Perak Saten,Atmobrass Jaya,125.5,8.7,58,47000,6
ORD-50494,2022-11-22,HW-008,Handle Laci,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,171.4,9.7,119,57000,8
ORD-50494,2022-11-22,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Hitam Matte,Atmobrass Jaya,218.9,7.4,197,47000,6
ORD-50496,2022-11-23,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Emas Matte,Maison Le Forge,49.9,7.0,114,28000,1
ORD-50497,2022-11-25,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Perak Saten,Atmobrass Jaya,129.1,9.9,15,47000,3
ORD-50499,2022-11-28,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Perak Berkilat (Chrome),Atmobrass Jaya,400.7,8.2,59,34000,8
ORD-50500,2022-11-30,HW-009,Handle Peti,Pemegang & Tombol,Kuningan (Brass),Hitam Matte,Atmobrass Jaya,246.0,9.5,178,90000,3
ORD-50500,2022-11-30,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Saten,Atmobrass Jaya,29.8,4.6,114,19000,1
ORD-50501,2022-11-30,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Perak Saten,Maison Le Forge,453.0,8.2,144,34000,2
ORD-50502,2022-12-03,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Perak Saten,Atmobrass Jaya,53.1,5.7,15,25000,2
ORD-50503,2022-12-06,HW-012,Roda Troli Alumunium,Roda & Kaki Perabot,Aluminium,Emas Matte,Atmobrass Jaya,237.3,12.5,190,34000,2
ORD-50503,2022-12-06,HW-001,Accecoris Katak,Aksesori & Plat,Kuningan (Brass),Emas Berkilat,Atmobrass Jaya,102.5,9.7,70,28000,6
ORD-50504,2022-12-11,HW-005,Engsel Tombak,Engsel,Gangsa Antik,Perak Saten,Maison Le Forge,195.0,8.6,128,47000,6
ORD-50505,2022-12-12,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Saten,Atmobrass Jaya,62.0,4.2,43,19000,1
ORD-50505,2022-12-12,HW-013,Roda Troli Kuningan,Roda & Kaki Perabot,Kuningan (Brass),Perak Berkilat (Chrome),Atmobrass Jaya,339.8,10.2,141,97000,4
ORD-50506,2022-12-12,HW-007,Handle Kuningan,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,276.2,10.5,137,210000,7
ORD-50506,2022-12-12,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,156.6,12.0,188,36000,7
ORD-50507,2022-12-12,HW-004,Engsel Kepala Antiq,Engsel,Gangsa Antik,Hitam Matte,Atmobrass Jaya,157.2,10.9,14,47000,10
ORD-50507,2022-12-12,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Emas Matte,Atmobrass Jaya,80.8,14.4,63,36000,10
ORD-50508,2022-12-13,HW-006,Handle Arsip Kuningan,Pemegang & Tombol,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,122.0,13.1,102,36000,2
ORD-50509,2022-12-13,HW-003,Engsel Jahit,Engsel,Besi,Perak Berkilat (Chrome),Atmobrass Jaya,93.1,10.1,151,32000,1
ORD-50510,2022-12-13,HW-010,Hanger Kapstok,Aksesori & Plat,Besi,Perak Saten,Heritage Series,32.6,8.0,50,19000,7
ORD-50511,2022-12-14,HW-002,Bintang,Aksesori & Plat,Kuningan (Brass),Coklat Gelap,Atmobrass Jaya,106.2,5.9,86,25000,7
